Nom de la Station,Nom de la ligne,Niveau de pollution,pollution_num,stop_lat,stop_lon
Arts et Métiers,Métro 3,FAIBLE,1,48.86553459885931,2.3567233472754983
Avron,Métro 2,MOYENNE,2,48.85164854359716,2.3981875566593973
Barbès - Rochechouart,Métro 4,FAIBLE,1,48.88340206048623,2.349629927853002
Boissière,Métro 6,MOYENNE,2,48.8668483434173,2.2900328376074373
Botzaris,Métro 7B,MOYENNE,2,48.879534991268365,2.388900951315739
Boucicaut,Métro 8,FAIBLE,1,48.841024160993214,2.2879184311245595
Boulogne Jean Jaurès,Métro 10,MOYENNE,2,48.841991575324506,2.239077780728926
Bourse,Métro 3,MOYENNE,2,48.86879284393317,2.340678546975881
Brochant,Métro 13,FAIBLE,1,48.89062201554889,2.3201902468999456
Cardinal Lemoine,Métro 10,MOYENNE,2,48.84670003526311,2.3513280016731763
Carrefour Pleyel,Métro 13,FAIBLE,1,48.91973260804976,2.343534674183465
Censier - Daubenton,Métro 7,MOYENNE,2,48.84022624851393,2.351626572605499
Charles de Gaulle - Etoile,Métro 6,MOYENNE,2,48.87383861478572,2.294995735441831
Charles Michels,Métro 10,MOYENNE,2,48.84636172348247,2.2856243417995747
Château de Vincennes,Métro 1,FAIBLE,1,48.84431751431355,2.440540095406114
Château Rouge,Métro 4,FAIBLE,1,48.88724193064896,2.34958196802566
Châtelet,Métro 1,MOYENNE,2,48.85922471342816,2.3457609541847755
Chaussée d'Antin - La Fayette,Métro 7,MOYENNE,2,48.87313420577469,2.333738594408701
Concorde,Métro 8,MOYENNE,2,48.86652125193945,2.3220315426557194
Courcelles,Métro 2,MOYENNE,2,48.87926525411311,2.303294362425212
Danube,Métro 7B,MOYENNE,2,48.88194921492064,2.393228471227492
Ecole Militaire,Métro 8,FAIBLE,1,48.85486175512232,2.3064410394306907
Ecole Vétérinaire de Maisons-Alfort,Métro 8,FAIBLE,1,48.814758684006726,2.422322751702586
Eglise de Pantin,Métro 5,MOYENNE,2,48.893163974098265,2.413119553706935
Esplanade de la Défense,Métro 1,MOYENNE,2,48.88834989394862,2.249931086743073
Etienne Marcel,Métro 4,FAIBLE,1,48.86370301202431,2.3489761968791085
Faidherbe - Chaligny,Métro 8,FAIBLE,1,48.85020070550927,2.384072471688875
Falguière,Métro 12,MOYENNE,2,48.844317683534335,2.317551235617027
Gallieni,Métro 3,FAIBLE,1,48.86539746068654,2.415921484287642
Gambetta,Métro 3,MOYENNE,2,48.86497267606974,2.3973588775666475
Gare d'Austerlitz,Métro 10,MOYENNE,2,48.84228236697996,2.364395394600644
Gare de l'Est,Métro 4,FAIBLE,1,48.87627821831841,2.3577495818204395
Gare de l'Est,Métro 7,MOYENNE,2,48.87627121454162,2.358120525273069
George V,Métro 1,FAIBLE,1,48.87203776458909,2.300759784978918
Goncourt,Métro 11,MOYENNE,2,48.8700070178386,2.3707644347484003
Grands Boulevards,Métro 9,MOYENNE,2,48.871558801223806,2.3432202183423976
Invalides,Métro 8,FAIBLE,1,48.86109201138112,2.3146326604445164
Jasmin,Métro 9,MOYENNE,2,48.85246214784456,2.268219083521012
Jaurès,Métro 5,ELEVE,3,48.88302391342934,2.371438959985608
Jaurès,Métro 7B,MOYENNE,2,48.88234423020823,2.370451734004561
Javel - André Citroën,Métro 10,MOYENNE,2,48.84618110622323,2.278009496527359
La Muette,Métro 9,MOYENNE,2,48.85809196689865,2.2740962446697224
Lamarck - Caulaincourt,Métro 12,FAIBLE,1,48.88968180996681,2.3385838243831936
Les Agnettes,Métro 13,FAIBLE,1,48.92308777796361,2.286263202479002
Les Sablons,Métro 1,MOYENNE,2,48.88129083793358,2.271904762259129
Liège,Métro 13,FAIBLE,1,48.87953493737576,2.3268526712397555
Madeleine,Métro 14,MOYENNE,2,48.87054467671624,2.3258100487932776
Mairie des Lilas,Métro 11,MOYENNE,2,48.87974365006289,2.4162978208011863
Mairie d'Ivry,Métro 7,MOYENNE,2,48.811210093393306,2.383498053635828
Maisons-Alfort - Les Juilliottes,Métro 8,MOYENNE,2,48.80310585036659,2.4457883063759605
Maisons-Alfort - Stade,Métro 8,MOYENNE,2,48.80891847848263,2.434819533389365
Marcadet - Poissonniers,Métro 4,FAIBLE,1,48.89127969913649,2.3495451670385634
Marx Dormoy,Métro 12,MOYENNE,2,48.89057957856722,2.359808478084024
Michel-Ange - Molitor,Métro 9,ELEVE,3,48.844880488259605,2.261631583355701
Montparnasse Bienvenue,Métro 13,MOYENNE,2,48.84231364506487,2.320983883036087
Nation,Métro 1,MOYENNE,2,48.848084289973976,2.3958439887237373
Notre-Dame des Champs,Métro 12,FAIBLE,1,48.84508150807547,2.328564944227944
Palais Royal - Musée du Louvre,Métro 7,MOYENNE,2,48.86268399776967,2.337007354765684
Pasteur,Métro 12,MOYENNE,2,48.84282366881032,2.3126518981045816
Père Lachaise,Métro 3,MOYENNE,2,48.86296417435419,2.386157046298338
Place de Clichy,Métro 2,MOYENNE,2,48.88366908827266,2.32795832801022
Place d'Italie,Métro 6,MOYENNE,2,48.830991153013954,2.3560502682264337
Pont Neuf,Métro 7,FAIBLE,1,48.85854633926832,2.341776749148542
Porte de Clichy,Métro 13,MOYENNE,2,48.89443128801746,2.31320835075881
Porte de la Villette,Métro 7,MOYENNE,2,48.89780269235572,2.385869033143345
Porte de Saint-Ouen,Métro 13,FAIBLE,1,48.89749783732745,2.3290483407446505
Porte Dorée,Métro 8,MOYENNE,2,48.8350662204656,2.405749381400099
Porte d'Orléans,Métro 4,MOYENNE,2,48.82339460262072,2.325623760353114
Pyrénées,Métro 11,MOYENNE,2,48.87381265491752,2.384883957748741
Réaumur - Sébastopol,Métro 3,MOYENNE,2,48.86628268363084,2.3520239377964742
République,Métro 5,MOYENNE,2,48.867687468165165,2.3640990472225725
République,Métro 11,MOYENNE,2,48.86788497134881,2.3648796725347783
Saint-Fargeau,Métro 3B,MOYENNE,2,48.87184337222297,2.4044981831688688
Saint-Mandé,Métro 1,MOYENNE,2,48.84622934735893,2.418989706343808
Sentier,Métro 3,MOYENNE,2,48.86728343166051,2.347513710821989
Sèvres - Babylone,Métro 12,MOYENNE,2,48.85156530639137,2.326859663121737
Strasbourg - Saint-Denis,Métro 8,MOYENNE,2,48.86938572399119,2.353744768129407
Télégraphe,Métro 11,MOYENNE,2,48.87551038418075,2.3986480899605933
Temple,Métro 3,MOYENNE,2,48.86668483219092,2.361589378332189
Ternes,Métro 2,MOYENNE,2,48.8782007528283,2.2981136521983068
Vavin,Métro 4,FAIBLE,1,48.84205232329236,2.3288628540691043
Villejuif Léo Lagrange,Métro 7,MOYENNE,2,48.80436739901952,2.364068547658874
Villejuif Paul Vaillant-Couturier,Métro 7,MOYENNE,2,48.79631793416014,2.3683316015776423
Volontaires,Métro 12,MOYENNE,2,48.84141172841498,2.3079833805768515
Abbesses,Métro 12,FAIBLE,1,48.88439271799143,2.338394635220906
Anvers,Métro 2,MOYENNE,2,48.882868568843925,2.344154840330292
Asnières - Gennevilliers Les Courtilles,Métro 13,FAIBLE,1,48.93060364140038,2.284372100658843
Assemblée Nationale,Métro 12,MOYENNE,2,48.861122050080816,2.3206896796944263
Basilique de Saint-Denis,Métro 13,MOYENNE,2,48.93678306532419,2.3592958408126816
Bibliothèque François Mitterrand,Métro 14,FAIBLE,1,48.829925765928905,2.376487371168301
Bobigny Pablo Picasso,Métro 5,MOYENNE,2,48.90636679503056,2.449301336646573
Chemin Vert,Métro 8,FAIBLE,1,48.85708736782028,2.368095085385991
Colonel Fabien,Métro 2,MOYENNE,2,48.877695345805535,2.370576102819657
Commerce,Métro 8,FAIBLE,1,48.84458485524012,2.293851708440619
Concorde,Métro 12,MOYENNE,2,48.86615003482594,2.323181449571859
Corentin Cariou,Métro 7,FAIBLE,1,48.89467266005628,2.382291557164633
Cour Saint-Emilion,Métro 14,FAIBLE,1,48.83331930384343,2.386617850214058
Daumesnil,Métro 8,MOYENNE,2,48.83967393140864,2.395573606140371
Filles du Calvaire,Métro 8,FAIBLE,1,48.86308830188695,2.366826859795412
Franklin D. Roosevelt,Métro 1,FAIBLE,1,48.8691648256349,2.309359666519628
Gaîté,Métro 13,FAIBLE,1,48.83852608502253,2.3223539967788067
Grands Boulevards,Métro 8,MOYENNE,2,48.87146677844407,2.342839648636545
Guy Môquet,Métro 13,FAIBLE,1,48.8930014419616,2.327483258626126
Hôtel de Ville,Métro 1,FAIBLE,1,48.85735240518587,2.3520676701391
Invalides,Métro 13,FAIBLE,1,48.86053445554123,2.3146399951225347
Jourdain,Métro 11,FAIBLE,1,48.875247348641416,2.389325378910096
La Courneuve - 8 Mai 1945,Métro 7,MOYENNE,2,48.92024579662936,2.4102214036405085
La Défense (Grande Arche),Métro 1,FAIBLE,1,48.89181786646099,2.237988183098828
Les Halles,Métro 4,FAIBLE,1,48.86252665962869,2.34600573656331
Liberté,Métro 8,MOYENNE,2,48.82608032193611,2.406409459132366
Louis Blanc,Métro 7,MOYENNE,2,48.88124182075271,2.3643562491890786
Louise Michel,Métro 3,MOYENNE,2,48.88853900119613,2.2882778490679767
Lourmel,Métro 8,FAIBLE,1,48.83866086365992,2.2822419598550767
Mabillon,Métro 10,FAIBLE,1,48.85284373829949,2.335142819346476
Madeleine,Métro 12,FAIBLE,1,48.87003294090397,2.325169929034193
Mairie de Montreuil,Métro 9,MOYENNE,2,48.8622744369706,2.4418193772459085
Maison Blanche,Métro 7,MOYENNE,2,48.82214950607496,2.358412946155939
Maraîchers,Métro 9,MOYENNE,2,48.85265013095636,2.4060490065790447
Marcel Sembat,Métro 9,MOYENNE,2,48.83359298218974,2.243583048618053
Ménilmontant,Métro 2,MOYENNE,2,48.866440166781686,2.38353966877949
Michel-Ange - Molitor,Métro 10,MOYENNE,2,48.84515597018703,2.2618218573220084
Miromesnil,Métro 9,MOYENNE,2,48.87369210197914,2.3146768238242688
Montparnasse Bienvenue,Métro 6,MOYENNE,2,48.84213060781436,2.3212187199903807
Mouton-Duvernet,Métro 4,FAIBLE,1,48.831382009093616,2.32979034782274
Nation,Métro 6,MOYENNE,2,48.84789550545761,2.3958598043279085
Notre-Dame-de-Lorette,Métro 12,MOYENNE,2,48.87604417483004,2.337900771823332
Oberkampf,Métro 5,ELEVE,3,48.86464456516527,2.3686045625807752
Odéon,Métro 10,MOYENNE,2,48.8519477060765,2.340619126473996
Olympiades,Métro 14,MOYENNE,2,48.82694415504304,2.367034270941924
Pereire,Métro 3,MOYENNE,2,48.88492986463719,2.297701123838181
Picpus,Métro 6,MOYENNE,2,48.84510324750185,2.401274538822374
Pigalle,Métro 2,ELEVE,3,48.88226954222623,2.338257976509587
Place de Clichy,Métro 13,FAIBLE,1,48.88373789022764,2.327398345647013
Place d'Italie,Métro 5,MOYENNE,2,48.83096622708413,2.35559694336975
Place d'Italie,Métro 7,MOYENNE,2,48.83154938471729,2.355330902236442
Pont de Neuilly,Métro 1,MOYENNE,2,48.88548938897471,2.258495429369125
Porte Dauphine,Métro 2,MOYENNE,2,48.87139679524832,2.277632717545272
Porte des Lilas,Métro 11,FAIBLE,1,48.87723143067265,2.4065226763982275
Pyramides,Métro 7,FAIBLE,1,48.86588028991413,2.334417535966556
Quatre Septembre,Métro 3,MOYENNE,2,48.86959592111917,2.3362786423248583
Raspail,Métro 4,FAIBLE,1,48.83915635952557,2.330466993719873
Raspail,Métro 6,MOYENNE,2,48.8390661288004,2.33041447123548
Réaumur - Sébastopol,Métro 4,FAIBLE,1,48.866077771215046,2.352381731140252
Rennes,Métro 12,MOYENNE,2,48.84819024311401,2.32802068556793
République,Métro 9,MOYENNE,2,48.86751235781114,2.3633023407804536
Reuilly - Diderot,Métro 1,FAIBLE,1,48.84734982784612,2.3858367760086865
Reuilly - Diderot,Métro 8,MOYENNE,2,48.84721292669797,2.387201070409392
Rue Saint-Maur,Métro 3,MOYENNE,2,48.86413108020325,2.380486332251813
Saint-Lazare,Métro 3,MOYENNE,2,48.87496650103443,2.3244924701707954
Saint-Marcel,Métro 5,MOYENNE,2,48.83847698406796,2.3608176665940044
Saint-Ouen,Métro 14,MOYENNE,2,48.90516956991565,2.3227559546697414
Trocadéro,Métro 6,MOYENNE,2,48.86346147371448,2.287625377853519
Tuileries,Métro 1,FAIBLE,1,48.864477839314645,2.3296780947116416
Villiers,Métro 2,MOYENNE,2,48.88121227337839,2.31576144923934
Wagram,Métro 3,MOYENNE,2,48.8838463907272,2.304673087584434
Alésia,Métro 4,FAIBLE,1,48.82815215770352,2.3271926250651647
Bagneux - Lucie Aubrac,Métro 4,FAIBLE,1,48.80354822259104,2.317458362049886
Balard,Métro 8,MOYENNE,2,48.83666789483108,2.2783626618092008
Bastille,Métro 8,MOYENNE,2,48.853425461693256,2.3695064282002
Belleville,Métro 2,ELEVE,3,48.87231407736167,2.3768306915222848
Bercy,Métro 14,FAIBLE,1,48.84010199803391,2.379062015227724
Bréguet-Sabin,Métro 5,MOYENNE,2,48.85624405468632,2.370194668589752
Buttes Chaumont,Métro 7B,MOYENNE,2,48.87849908839857,2.381569842088008
Buzenval,Métro 9,MOYENNE,2,48.85176243983227,2.401170769368413
Campo-Formio,Métro 5,MOYENNE,2,48.83559543123327,2.358468834639247
Charonne,Métro 9,MOYENNE,2,48.85500743705073,2.3848878986690423
Château d'Eau,Métro 4,FAIBLE,1,48.87247308911766,2.355901449780536
Châtelet,Métro 14,MOYENNE,2,48.85955653272677,2.346411849769497
Châtelet,Métro 7,MOYENNE,2,48.85695346078533,2.3481609912345776
Chaussée d'Antin - La Fayette,Métro 9,MOYENNE,2,48.87280723715393,2.333970457594147
Cité,Métro 4,MOYENNE,2,48.85493384910671,2.3472322349319112
Convention,Métro 12,MOYENNE,2,48.83713505380496,2.2963913864809173
Crimée,Métro 7,MOYENNE,2,48.890814345621656,2.3770380600019925
Daumesnil,Métro 6,MOYENNE,2,48.839537421644565,2.396146067915452
Dugommier,Métro 6,MOYENNE,2,48.83903652832887,2.3895997700798097
Franklin D. Roosevelt,Métro 9,MOYENNE,2,48.86872488799857,2.309488192337113
Front Populaire,Métro 12,MOYENNE,2,48.90666420278779,2.365792023989413
Gambetta,Métro 3B,MOYENNE,2,48.865032564464,2.398537305704572
Gare de l'Est,Métro 5,MOYENNE,2,48.87616299446643,2.35806459441865
Gare de Lyon,Métro 1,MOYENNE,2,48.84575948671397,2.373125016776689
Garibaldi,Métro 13,FAIBLE,1,48.906372391923206,2.331962553647662
Iéna,Métro 9,ELEVE,3,48.86468583928868,2.293906396859107
Jules Joffrin,Métro 12,FAIBLE,1,48.892492268201934,2.3443200293804827
Jussieu,Métro 7,MOYENNE,2,48.84596333903808,2.354798309820857
La Fourche,Métro 13,FAIBLE,1,48.88742451051807,2.325686960766736
La Motte-Picquet - Grenelle,Métro 10,FAIBLE,1,48.849532805857095,2.298684579816939
Le Kremlin-Bicêtre,Métro 7,MOYENNE,2,48.81025257278989,2.362130413802561
Les Gobelins,Métro 7,MOYENNE,2,48.83589170669027,2.3525311653622043
Louis Blanc,Métro 7B,MOYENNE,2,48.88118341152446,2.364365143550256
Madeleine,Métro 8,MOYENNE,2,48.86956561611772,2.3260272117729994
Mairie d'Issy,Métro 12,MOYENNE,2,48.82434428766646,2.273558168023932
Michel-Ange - Auteuil,Métro 9,ELEVE,3,48.84770893216831,2.2638093220226634
Miromesnil,Métro 13,FAIBLE,1,48.87344791579522,2.3160106931210245
Monceau,Métro 2,MOYENNE,2,48.88056877012684,2.309412967374703
Montparnasse Bienvenue,Métro 12,MOYENNE,2,48.84374228942691,2.32392211008296
Nation,Métro 2,MOYENNE,2,48.84845279707999,2.395798835112525
Oberkampf,Métro 9,ELEVE,3,48.86477709852134,2.3681558453945515
Parmentier,Métro 3,MOYENNE,2,48.86524326053047,2.3747205969196896
Pierre et Marie Curie,Métro 7,MOYENNE,2,48.81583650099709,2.377246886036494
Porte de Choisy,Métro 7,FAIBLE,1,48.82005592914816,2.3646785940494577
Porte de la Chapelle,Métro 12,FAIBLE,1,48.89740242267042,2.359248542310361
Porte de Vincennes,Métro 1,MOYENNE,2,48.84700773108863,2.4108049967015006
